"infoDate";"Precipitation";"TemperatureC";"Humidity";"ID"
"1961-05-08";"0";"20.8";"79.8";"0"
"1961-05-09";"0";"20.7";"83.3";"0"
"1961-05-10";"0";"21";"80.3";"0"
"1961-05-11";"0";"20.7";"78.8";"0"
"1961-05-12";"0";"21.4";"82";"0"
"1961-05-13";"0";"21.5";"75.5";"0"
"1961-05-14";"0";"21.7";"75.3";"0"
"1961-05-15";"0";"21.9";"77";"0"
"1961-05-16";"0";"22.1";"79.3";"0"
"1961-05-17";"0";"21.8";"76.8";"0"
"1961-05-18";"0";"21.1";"81.8";"0"
"1961-05-19";"0";"21.5";"72.3";"0"
"1961-05-20";"0";"21";"70.8";"0"
"1961-05-21";"0";"20";"75.3";"0"
"1961-05-22";"0";"19.9";"75.3";"0"
"1961-05-23";"0";"20.2";"80.5";"0"
"1961-05-24";"0";"20.3";"79.8";"0"
"1961-05-25";"0";"20.6";"76.5";"0"
"1961-05-26";"0";"20.9";"78";"0"
"1961-05-27";"0";"20.4";"76";"0"
"1961-05-28";"0";"19.8";"73";"0"
"1961-05-29";"0";"20.7";"74.8";"0"
"1961-05-30";"0";"21.2";"81.8";"0"
"1961-05-31";"0";"21";"75.5";"0"
"1961-06-01";"0";"21.3";"80.3";"0"
"1961-06-02";"0";"21.8";"80.5";"0"
"1961-06-03";"0";"21.6";"80.3";"0"
"1961-06-04";"0";"21.9";"80";"0"
"1961-06-05";"0";"22.4";"78";"0"
"1961-06-06";"0";"22.2";"82.8";"0"
"1961-06-07";"0";"21.8";"80.5";"0"
"1961-06-08";"0";"22.1";"80.8";"0"
"1961-06-09";"7.2";"21.7";"84";"0"
"1961-06-10";"0";"21.3";"75.8";"0"
"1961-06-11";"0";"22.8";"80";"0"
"1961-06-12";"0";"21";"79";"0"
"1961-06-13";"0";"20.5";"73.5";"0"
"1961-06-14";"0";"20";"78.8";"0"
"1961-06-15";"6.7";"19.2";"74.8";"0"
"1961-06-16";"3.4";"17.4";"74";"0"
"1961-06-17";"0";"17.6";"71.5";"0"
"1961-06-18";"0";"17.7";"75.5";"0"
"1961-06-19";"0";"17.7";"74.5";"0"
"1961-06-20";"0";"18.7";"74.5";"0"
"1961-06-21";"0";"19.4";"70.8";"0"
"1961-06-22";"0";"19.4";"73.3";"0"
"1961-06-23";"0";"20.4";"78";"0"
"1961-06-24";"0";"19.9";"70.8";"0"
"1961-06-25";"0";"21.1";"76";"0"
"1961-06-26";"0";"21.1";"82";"0"
"1961-06-27";"0";"20.9";"76.8";"0"
"1961-06-28";"0";"21.3";"79.3";"0"
"1961-06-29";"0";"20.4";"76.3";"0"
"1961-06-30";"0";"20.6";"72.8";"0"
"1961-07-01";"0";"20.9";"76.5";"0"
"1961-07-02";"0";"21.3";"76";"0"
"1961-07-03";"0";"21.1";"78.8";"0"
"1961-07-04";"0";"20.5";"80";"0"
"1961-07-05";"0";"20.8";"79.5";"0"
"1961-07-06";"0";"20.1";"75.3";"0"
"1961-07-07";"0";"20.3";"77.3";"0"
"1961-07-08";"0";"20.2";"77";"0"
"1961-07-09";"0";"19.4";"81";"0"
"1961-07-10";"0";"19.5";"78.8";"0"
"1961-07-11";"0";"19.3";"77.5";"0"
"1961-07-12";"0";"18.6";"79";"0"
"1961-07-13";"0";"19.6";"77.3";"0"
"1961-07-14";"0";"19.6";"77.5";"0"
"1961-07-15";"0";"20.3";"77.5";"0"
"1961-07-16";"0";"21.3";"77.8";"0"
"1961-07-17";"0";"20.7";"78";"0"
"1961-07-18";"0";"19.8";"78.3";"0"
"1961-07-19";"0";"20.4";"76";"0"
"1961-07-20";"0";"20.6";"76.3";"0"
"1961-07-21";"0";"20.2";"79.5";"0"
"1961-07-22";"0";"20";"74";"0"
"1961-07-23";"0";"21.1";"78.5";"0"
"1961-07-24";"0";"20.4";"73";"0"
"1961-07-25";"0";"20.3";"73.3";"0"
"1961-07-26";"0";"19.9";"75.8";"0"
"1961-07-27";"0";"20.1";"72.5";"0"
"1961-07-28";"0";"19.8";"70.8";"0"
"1961-07-29";"0";"18.5";"80";"0"
"1961-07-30";"0";"18.7";"78.3";"0"
"1961-07-31";"0";"18.4";"81.3";"0"
"1961-08-01";"0";"19.7";"71.5";"0"
"1961-08-02";"0";"19.9";"69.3";"0"
"1961-08-03";"0";"19.4";"73.8";"0"
"1961-08-04";"0";"20.2";"75.5";"0"
"1961-08-05";"0";"20.4";"75";"0"
"1961-08-06";"0";"20.5";"76.5";"0"
"1961-08-07";"0";"20.9";"74";"0"
"1961-08-08";"0";"21.5";"79";"0"
"1961-08-09";"0";"21.6";"76.3";"0"
"1961-08-10";"0";"20.4";"79";"0"
"1961-08-11";"0";"19.8";"78";"0"
"1961-08-12";"0";"19.8";"78.8";"0"
"1961-08-13";"0";"20.3";"73.8";"0"
"1961-08-14";"0";"21.3";"83";"0"
"1961-08-15";"0";"21.3";"80";"0"
"1961-08-16";"0";"20.9";"78.3";"0"
"1961-08-17";"0";"21.8";"79.8";"0"
"1961-08-18";"0";"20.6";"77.3";"0"
"1961-08-19";"0";"20.5";"83";"0"
"1961-08-20";"0";"20.7";"79.8";"0"
"1961-08-21";"0";"21.2";"77";"0"
"1961-08-22";"0";"21";"75.3";"0"
"1961-08-23";"0";"21.2";"75.5";"0"
"1961-08-24";"0";"21.1";"73.3";"0"
"1961-08-25";"0";"20.9";"80";"0"
"1961-08-26";"0";"20.5";"81";"0"
"1961-08-27";"0";"21";"77.8";"0"
"1961-08-28";"0";"21.7";"79";"0"
"1961-08-29";"0";"22.3";"77.8";"0"
"1961-08-30";"0";"21";"76";"0"
"1961-08-31";"1.7";"20.9";"80.5";"0"
"1961-09-01";"0";"22.8";"75.3";"0"
"1961-09-02";"0";"23.4";"73.3";"0"
"1961-09-03";"0";"23.1";"73.5";"0"
"1961-09-04";"0";"22.7";"76.8";"0"
"1961-09-05";"0";"22.8";"80";"0"
"1961-09-06";"0";"22.4";"73";"0"
"1961-09-07";"8.1";"21.3";"79";"0"
"1961-09-08";"8.8";"21.3";"80.5";"0"
"1961-09-09";"0";"21.5";"81";"0"
"1961-09-10";"0";"22.3";"77.3";"0"
"1961-09-11";"0";"22.2";"80.8";"0"
"1961-09-12";"0";"21.9";"79.5";"0"
"1961-09-13";"0";"22.2";"79.8";"0"
"1961-09-14";"0";"23.3";"76.8";"0"
"1961-09-15";"0";"23.9";"75.5";"0"
"1961-09-16";"0";"24.5";"76";"0"
"1961-09-17";"0";"24.2";"81";"0"
"1961-09-18";"0";"25.2";"75";"0"
"1961-09-19";"0";"25.7";"80.5";"0"
"1961-09-20";"0";"26.5";"74.8";"0"
"1961-09-21";"0";"26.2";"81.3";"0"
"1961-09-22";"0";"24.4";"76";"0"
"1961-09-23";"0";"23.1";"79.3";"0"
"1961-09-24";"0";"23.5";"77.3";"0"
"1961-09-25";"0";"24.6";"75.8";"0"
"1961-09-26";"0";"24.2";"77.5";"0"
"1961-09-27";"0";"25.9";"75.5";"0"
"1961-09-28";"0";"24.1";"78.3";"0"
"1961-09-29";"9.1";"23.5";"76.8";"0"
"1961-09-30";"0";"22.3";"78.3";"0"
"1961-10-01";"0";"0";"0";"0"
"1961-10-02";"0";"0";"0";"0"
"1961-10-03";"0";"0";"0";"0"
"1961-10-04";"0";"0";"0";"0"
"1961-10-05";"0";"0";"0";"0"
"1961-10-06";"0";"0";"0";"0"
"1961-10-07";"0";"0";"0";"0"
"1961-10-08";"0";"0";"0";"0"
"1961-10-09";"0";"0";"0";"0"
"1961-10-10";"0";"0";"0";"0"
"1961-10-11";"0";"0";"0";"0"
"1961-10-12";"0";"0";"0";"0"
"1961-10-13";"0";"0";"0";"0"
"1961-10-14";"0";"0";"0";"0"
"1961-10-15";"0";"0";"0";"0"
"1961-10-16";"0";"0";"0";"0"
"1961-10-17";"0";"0";"0";"0"
"1961-10-18";"0";"0";"0";"0"
"1961-10-19";"0";"0";"0";"0"
"1961-10-20";"0";"0";"0";"0"
"1961-10-21";"0";"0";"0";"0"
"1961-10-22";"0";"0";"0";"0"
"1961-10-23";"0";"0";"0";"0"
"1961-10-24";"0";"0";"0";"0"
"1961-10-25";"0";"0";"0";"0"
"1961-10-26";"0";"0";"0";"0"
"1961-10-27";"0";"0";"0";"0"
"1961-10-28";"0";"0";"0";"0"
"1961-10-29";"0";"0";"0";"0"
"1961-10-30";"0";"0";"0";"0"
"1961-10-31";"18.2";"22";"74.3";"0"
"1961-11-01";"10.4";"23.3";"73.8";"0"
"1961-11-02";"11.8";"23.7";"80.3";"0"
"1961-11-03";"8.8";"23.4";"76.8";"0"
"1961-11-04";"13.6";"23";"75.3";"0"
"1961-11-05";"7.8";"23.6";"74.5";"0"
"1961-11-06";"0";"23.6";"78.3";"0"
"1961-11-07";"8.1";"22.4";"79.8";"0"
"1961-11-08";"0";"22.3";"78.3";"0"
"1961-11-09";"0";"21.8";"83.3";"0"
"1961-11-10";"0";"22.4";"78.5";"0"
"1961-11-11";"7.3";"22.9";"80.3";"0"
"1961-11-12";"0";"22.8";"79.5";"0"
"1961-11-13";"0";"22.8";"81.5";"0"
"1961-11-14";"5.9";"22.3";"80.3";"0"
"1961-11-15";"0";"22.5";"78.8";"0"
"1961-11-16";"0";"22.1";"79.3";"0"
"1961-11-17";"0";"22.8";"80.8";"0"
"1961-11-18";"0";"21.6";"75";"0"
"1961-11-19";"0";"22.8";"75.3";"0"
"1961-11-20";"0";"23.2";"76";"0"
"1961-11-21";"0";"23.3";"74.5";"0"
"1961-11-22";"0";"24";"74.8";"0"
